title,author,rating,slick_sheet,retrieved_date
Bumped,Megan McCafferty,3,...,06/02/2023
Burned,Ellen Hopkins,3,...,06/02/2023
"Bye Bye, Binary",Eric Geron,1,...,06/02/2023
Call Me Max,Kyle Lukoff,1,...,06/02/2023
Call Me By Your Name,Andre Aciman,4,here,06/02/2023
Calvin,JR and Vanessa Ford,1,...,06/02/2023
Can I Touch Your Hair,Irene Latham and Charles Waters,1,...,06/02/2023
Can't Take That Away,Steven Salvatore,2,...,06/02/2023
The Carnival at Bray ,Jessie Ann Foley,4,...,06/02/2023
Catwoman: Soulstealer,Sarah J. Maas,2,...,06/02/2023
Cemetary Boys,Aiden Thomas,2,...,06/02/2023
Changing You!,"Dr, Gail Saltz",2,...,06/02/2023
Check Please! Book 1: #HOCKEY,Ngozi Ukazu,2,...,06/02/2023
"A Child Called ""It""",David Pelzer,3,,06/02/2023
Choke,Chuck Palahniuk,5,here,06/02/2023
Chosen,P.C. Cast and Kristin Cast,3,...,06/02/2023
Cinderella Is Dead,Kalynn Bayron,2,...,06/02/2023
Clap When You Land,Elizabeth Acevedo,2,...,06/02/2023
Class Act,Jerry Craft,1,...,06/02/2023
Clockwork Princess,Cassandra Clare,3,...,06/02/2023
Closer,Dennis Cooper,5,here,06/02/2023
Closer to Nowhere,Ellen Hopkins,2,...,06/02/2023
Collateral,Ellen Hopkins,4,here,06/02/2023
The Color of Earth,Kim Dong Hwa,2,,06/02/2023
The Complete Idiot's Guide to Tantric Sex,Dr. Judy Kurianksy,4,...,06/02/2023
Concrete Rose,Angie Thomas,3,...,06/02/2023
Confess,Colleen Hoover,4,...,06/02/2023
Cool for the Summer,Dahlia Adler,3,...,06/02/2023
A Costume for Charly,C.K. Malone,1,,06/02/2023
A Court  of Frost and Starlight,Sarah J. Maas,4,here ,06/02/2023
A Court of Mist and Fury,Sarah J. Maas,4,here,06/02/2023
A Court of Silver Flames,Sarah J. Maas,4,here,06/02/2023
A Court of Thorns and Roses,Sarah J. Maas,4,here,06/02/2023
A Court of Wings and Ruin,Sarah J. Maas,4,,06/02/2023
Crank,Ellen Hopkins,3,...,06/02/2023
Crown of Midnight,Sarah J. Maas,2,...,06/02/2023
Cuddly Duddley,Jez Alborough,0,...,06/02/2023
Curls,Ruth Forman,0,...,06/02/2023
Cut,Patricia McCormick,2,...,06/02/2023
Daddy's Roommate,Michael Willhoite,1,...,06/02/2023
Damned,Chuck Palahniuk,4,here,06/02/2023
Damsel,Elana Arnold,4,here,06/02/2023
A Day No Pigs Would Die,Robert Newton Peck,2,,06/02/2023
The Day You Begin,Jacqueline Woodson,0,,06/02/2023
Dead End,Jason Myers,5,here,06/02/2023
Deal With It!,"Esther Drill, Heather McDonald, and Rebecca Odes",4,...,06/02/2023
Dear Martin,Nic Stone,2,...,06/02/2023
Dear Sweet Pea,Julie Murphy,1,...,06/02/2023
Death Wind,William Bell,2,...,06/02/2023
The Deep and Dark Blue,Niki Smith,2,...,06/02/2023
Deogratias: A Tale of Rwanda,J.P. Stassen,3,...,06/02/2023
Dime,E.R. Frank,3,...,06/02/2023
Discrimination in Society Racial Discrimination,Peggy J. Parks,2,...,06/02/2023
Doing It!,Hannah Witton,4,...,06/02/2023
Doll Bones,Holly Black,1,...,06/02/2023
Doomed,Chuck Palahniuk,5,here,06/02/2023
Dorothy: A Different Kind of Friend,Roberto Aliaga,1,...,06/02/2023
Dragon Masters Heat of the Lava Dragon,Tracey West,0,...,06/02/2023
Drama,Raina Telgemeier,2,...,06/02/2023
Dream Street,Tricia Elam Walker and Ekua Holmes,0,...,06/02/2023
Dreaming in Cuban, Cristina Garcia,3,...,06/02/2023
Dreaming Up,Christy Hale,0,...,06/02/2023
Dress Codes For Small Towns,Courtney Stevens,2,...,06/02/2023
The Duff: a Novel,Kody Keplinger,4,...,06/02/2023
Eleanor and Park,Rainbow Rowell,3,...,06/02/2023
"Embrace Series, Book 1",Jessica Shirvington,2,...,06/02/2023
Emergency Contact,Mary H.K. Choi,3,...,06/02/2023
Empire of Storms,Sarah J. Maas,4,here,06/02/2023
Eustace and Clyde,Marina Aizen,0,...,06/02/2023
Everything You Always Wanted to Know About Puberty,Morris Katz,2,...,06/02/2023
Everywhere Babies,Susan Meyers,0,...,06/02/2023
Exit Here,Jason Myers,4,here,06/02/2023
Extremely Loud and Incredibly Close,Jonathan Safran Foer,3,...,06/02/2023
Fable,Adrienne Young,2,...,06/02/2023
Fade,Lisa McMann,3,...,06/02/2023
Fallout,Ellen Hopkins,3,...,06/02/2023
The Family Book,Todd Parr,1,...,06/02/2023
Fangirl,Rainbow Rowell,2,...,06/02/2023
Far From Fair,Elana K. Arnold,0,...,06/02/2023
Felix Ever After,Kacen Callender,3,...,06/02/2023
The Female of the Species,Mindy McGinnis,3,...,06/02/2023
Feral Sins,Suzanne Wright,5,...,06/02/2023
Fight Club,Chuck Palahniuk,3,...,06/02/2023
Finding Cinderella,Colleen Hoover,3,...,06/02/2023
Finding Perfect,Colleen Hoover,2,...,06/02/2023
The Fixer,Bernard Malamud,3,...,06/02/2023
Flamer,Mike Curato,3,...,06/02/2023
Flowers In The Attic,V. C. Andrews,2,...,06/02/2023
Forbidden,Tabitha Suzuma,4,,06/02/2023
Forever...,Judy Blume,4,here,06/02/2023
