title,author,rating,slick_sheet,retrieved_date
Real Live Boyfriends,E. Lockhart,2,...,06/02/2023
Red at the Bone,"Jacqueline Woodson
",3,...,06/02/2023
Red Hood,Elana Arnold,4,here,06/02/2023
"Red, White and Royal Blue",Casey McQuiston,4,...,06/02/2023
Redwood and Ponytail,K.A. Holt,2,...,06/02/2023
Relish: My Life in the Kitchen,Lucy Knisley,3,...,06/02/2023
Rethinking Normal,Katie Rain Hill,2,...,06/02/2023
Rhymes With Witches,Lauren Myracle,2,...,06/02/2023
Rick,Alex Gino,1,...,06/02/2023
The Right Touch,Sandy Kleven,2,...,06/02/2023
Rumble,Ellen Hopkins,3,...,06/02/2023
"Rosie Revere, Engineer",Andrea Beaty,0,...,06/02/2023
The Sacrifice of Darkness, Roxane Gay and Tracy Lynn Oliver,2,...,06/02/2023
Sam is My Sister,Ashley Rhodes-Courter,1,...,06/02/2023
Scars,Cheryl Rainfield,3,...,06/02/2023
Seeing Gender,Iris Gottlieb,2,...,06/02/2023
"S.E.X. the all -you-need-to-know sexuality guide to get you through your teens and twenties, Second Edition",Heather Corinna,4,...,06/02/2023
SEX: An Uncensored Introduction,Nikol Hasler,4,here,06/02/2023
Sex in the Library: A Guide to Sexual Content in Teen Literature,Mary Jo Heller and Aarene Storms,2,...,06/02/2023
Sex Is a Funny Word,"Cory Silverberg, Fiona Smyth",4,...,06/02/2023
"Sex Plus: Learning, Loving, and Enjoying Your Body",Laci Green,4,...,06/02/2023
She Felt Like Feeling Nothing,r.h. Sin,2,...,06/02/2023
She's My Dad!,Sarah Savage,1,...,06/02/2023
Shine,Lauren Myracle,4,...,06/02/2023
Shiver,Maggie Stiefvater,3,...,06/02/2023
Shout,Laurie Halse Anderson,3,...,06/02/2023
Skin,Donna Jo Napoli,4,...,06/02/2023
Skin Again,Bell Hooks,0,...,06/02/2023
Slammed,Colleen Hoover,3,...,06/02/2023
Silent Mobius: Volume 1,Kia Asamiya,3,...,06/02/2023
A Sin Such as This,Ellen Hopkins,4,here,06/02/2023
Slaughterhouse-Five,Kurt Vonnegut,4,...,06/02/2023
Slavery Wasn't Only In The South,Katie Kawa,0,...,06/02/2023
Smoke,Ellen Hopkins,3,...,06/02/2023
Snuff,Chuck Palahniuk,5,here,06/02/2023
"Sofia Valdez, Future Prez",Andrea Beaty,1,,06/02/2023
Sold,Patricia McCormick,5,here,06/02/2023
Some Girls Bind,Rory James,2,...,06/02/2023
Some Girls Do,Jennifer Dugan,2,...,06/02/2023
Speak,Laurie Halse Anderson,3,...,06/02/2023
Speak: The Graphic Novel,Laurie Halse Anderson,3,...,06/02/2023
Spinning,Tillie Walden,3,...,06/02/2023
Splendor,Elana K. Arnold,3,...,06/02/2023
Stained,Jennifer Richard Jacobson,3,...,06/02/2023
"Stamped (For Kids): Racism, Antiracism, and You","Jason Reynolds, Ibram X. Kendi",1,...,06/02/2023
Starla Jean: Which Came First: The Chicken or the Friendship,Elana K. Arnold,0,...,06/02/2023
Starting From Scratch: A Wish novel,Jazz Taylor,1,...,06/02/2023
Stealing Heaven,Elizabeth Scott,2,...,06/02/2023
Stitches: A Memoir,David Small,2,...,06/02/2023
Story of a Girl: A Novel,Sara Zarr,2,...,06/02/2023
Strange Truth,Maggie Thrash,4,...,06/02/2023
Sully the Raccoon, Arielle Hobbs,0,...,06/02/2023
Sulwe, Lupita Nyong,1,...,06/02/2023
The Sun and Her Flowers, Rupi Kaur,4,...,06/02/2023
SuperMutant Magic Academy, Jillian Tamaki,3,...,06/02/2023
Tabitha and Magoo Dress Up Too,Michelle Tea,2,...,06/02/2023
"The Talk: Conversations About Race, Love and Truth","Wade Hudson, Cheryl Willis Hudson",1,...,06/02/2023
The Teenage Guy's Survival Guide,Jeremy Daldrey,3,...,06/02/2023
That's Betty,Gregory Bonsignore,1,...,06/02/2023
Teo's Tutu,Maryann Jacob Macias,1,...,06/02/2023
That is My Dream!,Langston Hughes and Daniel Miyares,1,...,06/02/2023
They Went Left,Monica Hesse,2,...,06/02/2023
Thirteen Reasons Why,Jay Asher,3,...,06/02/2023
This Book Is Anti-Racist,Tiffany Jewell,2,,06/02/2023
This Book Is Gay,Juno Dawson,4,here,06/02/2023
This Book Is Not For You!,Shannon Hale,0,,06/02/2023
This Is Our Rainbow,Katherine Locke and Nicole Melleby,2,...,06/02/2023
This One Summer,Mariko Tamaki,3,...,06/02/2023
Throne of Glass,Sarah J. Maas,2,...,06/02/2023
Thunderboy Jr., Sherman Alexie,0,...,06/02/2023
Tiger Eyes, Judy Blume,2,...,06/02/2023
Tilt,Ellen Hopkins,4,here,06/02/2023
To Kill a Mockingbird,Harper Lee,2,...,06/02/2023
Too Bright to See,Kyle Lukoff,2,...,06/02/2023
Touch,Francine Prose,2,...,06/02/2023
Touch Blue,Cynthia Lord,0,...,06/02/2023
Tower of Dawn,Sarah J. Maas,3,...,06/02/2023
Traffick,Ellen Hopkins,3,...,06/02/2023
"Trans+: Love, Sex, Romance, and Being You",Kathryn Gonzalez and Karen Rayne,3,...,06/02/2023
Trans Teen Survival Guide,Owl and Fox Fisher,2,...,06/02/2023
"The Trauma Cleaner: One Woman's Extraordinary Life in the Business of Death, Decay, and Disaster",Sarah Krasnostein,5,here,06/02/2023
Triangles,Ellen Hopkins,5,...,06/02/2023
Tricks,Ellen Hopkins,5,here,06/02/2023
The Trouble With Chickens,Doreen Cronin,0,...,06/02/2023
The Truth About Alice,Jennifer Mathieu,3,...,06/02/2023
TTYL,Lauren Myracle,2,...,06/02/2023
Turning 15 on the Road to Freedom, Lynda Blackmon Lowery,2,...,06/02/2023
Twisted,Laurie Halse Anderson,2,...,06/02/2023
Two Boys Kissing,David Levithan,2,...,06/02/2023
Two More Days: An Anthology,Colleen Hoover and The Bookworm Box,5,...,06/02/2023
Ugly Love,Colleen Hoover,4,here,06/02/2023
Uncomfortable Conversations With a Black Boy,Emmanuel Acho,2,...,06/02/2023
The Undefeated,Kwame Alexander,1,...,06/02/2023
Unicorns Are the Worst!,Alex Willan,1,...,06/02/2023
Unravel Me,Tahereh Mafi,3,...,06/02/2023
The Upside of Unrequited,Becky Albertalli,3,...,06/02/2023
The V-Word,Amber Keyser,4,...,06/02/2023
Verity,Colleen Hoover,4,here,06/02/2023
The Violin Maker's Daughter ,Sharon Maas,3,...,06/02/2023
Wait For You, Jennifer L. Armentrout as J. Lynn,4,...,06/02/2023
"Wait, WHAT?", Heather Corinna and Isabella Rotman,3,...,06/02/2023
Water for Elephants, Sarah Gruen,4,...,06/02/2023
Watercress, Andrea Wang,0,...,06/02/2023
Wayward Son,Rainbow Rowell,2,...,06/02/2023
We Are Not Yet Equal,Carol Anderson,2,...,06/02/2023
We Are the Ants,Shaun David Hutchison,3,...,06/02/2023
"We Rise, We Resist, We Raise Our Voices",Wade Hudson,2,...,06/02/2023
Welcome to St. Hell: My Trans Teen Misadventure,Lewis Hancox,3,...,06/02/2023
What About Will,Ellen Hopkins,2,...,06/02/2023
What Are Your Words?,Katherine Locke,1,...,06/02/2023
What Girls Are Made Of,Elena K. Arnold,4,here,06/02/2023
What My Mother Doesn't Know,Sonya Sones,2,...,06/02/2023
What Riley Wore,Elena K. Arnold,1,...,06/02/2023
"What if, Pig?",Linzie Hunter,0,...,06/02/2023
When Aidan Became A Brother,Kyle Lukoff,1,...,06/02/2023
When I Grow Up,Julie Chen,0,...,06/02/2023
When I Was the Greatest,Jason Reynolds,2,...,06/02/2023
Where I End and You Begin,Preston Norton,3,...,06/02/2023
Where the Crawdads Sing,Delia Owens,3,...,06/02/2023
Who Are You?: the Kid's Guide to Gender Identity,Brook Pessin-Whedbee,1,...,06/02/2023
Who Has What? All About Girls' Bodies and Boys' Bodies,Robie H. Harris,1,...,06/02/2023
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,4,here,06/02/2023
The Wind-Up Bird Chronicle,Haruki Murakami,4,here,06/02/2023
Wintergirls,Laurie Halse Anderson,3,...,06/02/2023
The Witch Boy, Molly Knox Ostertag,1,...,06/02/2023
Without Merit, Colleen Hoover,3,...,06/02/2023
Woke: A Young Poet's Call to Social Justice,"Mahogany L. Browne, Elizabeth Acevedo, and Olivia Gatwood",2,...,06/02/2023
The Year of the Flood,Margaret Atwood,3,...,06/02/2023
Yolk,Mary H. K. Choi,3,...,06/02/2023
YOLO,Lauren Myracle,4,here,06/02/2023
You: A Novel,Caroline Kepnes,4,...,06/02/2023
"You Be You!: The Kid's Guide to Gender, Sexuality, and Family",Jonathan Branfman,2,...,06/02/2023
The You I've Never Known,Ellen Hopkins,3,...,06/02/2023
You Matter,Christian Robinson,0,...,06/02/2023
You Too?,Janet Gurtler,3,...,06/02/2023
